UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,1,2,R,367454,R,228749,R,107,R,26186,R,38684,R,1392,R,132597,R,395032,R,400137,R,795169,R,544,R,134785,R,135329,1,R,1836,R,258,1,R,26,R,9,R,5,R,1,R,11,R,0,R,895925,1,R,287779,R,29577,R,425257,R,309946,R,764780,R,17280,R,741184,R,758464,R,2706948,2419169
100663,1,2,R,902731,R,836128,R,617,R,33897,R,30710,R,27583,R,172890,R,964211,R,1040345,R,2004556,R,30402,R,3139940,R,3170342,1,R,14302,R,3307,1,R,89.3,R,38,R,11,R,22.9,R,17.4,R,1,R,4541780,1,R,1803319,R,3488038,R,7309017,R,232602,R,11029657,R,10816,R,2619685,R,2630501,R,20005257,18201938
100690,1,2,R,50472,R,746,R,62,R,0,R,0,R,1220,R,0,R,51692,R,808,R,52500,R,5,R,29328,R,29333,1,R,1,R,347,1,R,1,R,1,R,0,R,0,R,0,R,0,R,52655,2,R,0,R,13048,R,67310,R,7502,R,87860,R,0,R,5199,R,5199,R,145714,145714
100706,1,2,R,210388,R,859170,R,258,R,14777,R,277782,R,921,R,91354,R,226086,R,1228564,R,1454650,R,2523,R,331617,R,334140,1,R,5041,R,1840,1,R,37.14,R,11.8,R,4,R,9.33,R,12.01,R,0,R,1481428,2,Z,0,R,47789,R,1506435,R,27521,R,1581745,R,7126,R,134669,R,141795,R,3204968,3204968
100724,1,2,R,224758,R,108091,R,189,R,34696,R,1,R,1616,R,5922,R,261070,R,114203,R,375273,R,792,R,39529,R,40321,1,R,205,R,23,1,R,49,R,13,R,4,R,17,R,15,R,0,R,1667528,1,R,447847,R,40359,R,332769,R,0,R,373128,R,5000,R,269764,R,274764,R,2763267,2315420
100751,1,2,R,2193211,R,3007450,R,668,R,189164,R,249197,R,73242,R,265693,R,2455617,R,3523008,R,5978625,R,35940,R,3508186,R,3544126,1,R,10995,R,6641,1,R,170,R,48,R,32,R,42,R,48,R,7,R,8264643,2,Z,0,R,1430729,R,11311109,R,797488,R,13539326,R,13512,R,3063027,R,3076539,R,24880508,24880508
100760,1,2,R,14638,R,8656,R,4,R,105,R,0,R,0,R,0,R,14743,R,8660,R,23403,R,1137,R,2,R,1139,1,R,0,R,0,1,R,2,R,0,R,1,R,1,R,0,R,2,R,146657,1,R,49263,R,0,R,23073,R,319,R,23392,R,0,R,183,R,183,R,219495,170232
100812,1,2,R,90076,R,648632,R,41,R,162,R,39584,R,81,R,74259,R,90319,R,762516,R,852835,R,837,R,2809,R,3646,1,R,892,R,153,1,R,10.5,R,7,R,2,R,0,R,1.5,R,0,R,569008,1,R,233863,R,47396,R,240075,R,0,R,287471,R,2238,R,28391,R,30629,R,1120971,887108
100830,1,2,R,610227,R,718308,R,168,R,4279,R,167,R,971,R,64131,R,615477,R,782774,R,1398251,R,2596,R,1878,R,4474,1,R,581,R,963,1,R,30,R,8,R,10,R,3,R,9,R,0,R,1031820,1,R,301474,R,42878,R,440644,R,50172,R,533694,R,100,R,122880,R,122980,R,1989968,1688494
100858,1,2,R,1674859,R,1536940,R,373,R,736294,R,198245,R,66376,R,232335,R,2477529,R,1967893,R,4445422,R,42969,R,2265650,R,2308619,1,R,16812,R,4885,1,R,148.75,R,32,R,29,R,25.5,R,62.25,R,2,R,5924554,1,R,1583841,R,964050,R,8711131,R,78276,R,9753457,R,27015,R,1754012,R,1781027,R,19042879,17459038
